timestamp,time_seconds,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,temp_c
2026-02-12 18:13:58.835,130.700,0.321045,0.508057,-0.780273,1.855,-2.695,0.168,31.36
2026-02-12 18:13:58.935,130.800,0.321289,0.505859,-0.784180,2.031,-2.649,0.183,31.66
2026-02-12 18:13:59.035,130.900,0.323486,0.508057,-0.778564,1.702,-2.740,0.221,31.66
2026-02-12 18:13:59.135,131.000,0.323242,0.505615,-0.778809,1.702,-2.649,0.168,31.56
2026-02-12 18:13:59.235,131.100,0.321045,0.511230,-0.777588,1.901,-3.061,0.351,31.36
2026-02-12 18:13:59.335,131.200,0.320557,0.504883,-0.776611,1.496,-3.046,0.649,31.32
2026-02-12 18:13:59.435,131.300,0.322510,0.507568,-0.779297,1.725,-2.947,0.176,31.66
2026-02-12 18:13:59.535,131.400,0.326416,0.505615,-0.779053,1.733,-2.817,0.099,31.66
2026-02-12 18:13:59.635,131.500,0.320557,0.509033,-0.777832,1.557,-2.916,-0.046,31.66
2026-02-12 18:13:59.735,131.600,0.320557,0.502930,-0.781006,1.557,-3.122,0.298,31.66
2026-02-12 18:13:59.835,131.700,0.320312,0.508057,-0.772705,1.802,-2.733,0.061,31.51
2026-02-12 18:13:59.935,131.800,0.322021,0.509766,-0.779053,1.855,-2.916,0.504,31.36
2026-02-12 18:14:00.035,131.900,0.324463,0.505615,-0.783691,1.947,-2.824,0.214,31.66
2026-02-12 18:14:00.135,132.000,0.324219,0.509521,-0.781250,1.695,-3.015,0.130,31.46
2026-02-12 18:14:00.235,132.100,0.323486,0.504395,-0.778320,1.634,-2.977,0.206,31.66
2026-02-12 18:14:00.335,132.200,0.319336,0.502930,-0.778320,1.542,-2.939,0.282,31.51
2026-02-12 18:14:00.435,132.300,0.322510,0.505371,-0.783691,1.534,-2.832,0.160,31.32
2026-02-12 18:14:00.535,132.400,0.320801,0.504639,-0.777344,1.794,-2.847,0.244,31.32
2026-02-12 18:14:00.635,132.500,0.320801,0.505127,-0.772705,1.786,-2.947,0.328,31.51
2026-02-12 18:14:00.735,132.600,0.324707,0.503174,-0.779541,1.786,-2.977,0.344,31.76
2026-02-12 18:14:00.835,132.700,0.322021,0.509033,-0.776367,1.870,-2.870,0.298,31.46
2026-02-12 18:14:00.935,132.800,0.321777,0.504639,-0.778076,1.695,-2.809,0.099,31.56
2026-02-12 18:14:01.035,132.900,0.319824,0.504150,-0.776611,1.603,-2.679,0.336,31.66
2026-02-12 18:14:01.135,133.000,0.320068,0.510498,-0.780273,1.496,-2.740,0.214,31.46
2026-02-12 18:14:01.235,133.100,0.320312,0.501221,-0.781006,1.870,-2.809,0.305,31.32
2026-02-12 18:14:01.335,133.200,0.322754,0.508545,-0.776367,1.557,-2.725,0.466,31.56
2026-02-12 18:14:01.435,133.300,0.322266,0.504883,-0.777100,1.649,-2.947,0.321,31.32
2026-02-12 18:14:01.535,133.400,0.323975,0.510986,-0.782471,1.748,-2.733,0.145,31.66
2026-02-12 18:14:01.635,133.500,0.322510,0.507080,-0.781250,1.527,-3.153,0.260,31.66
2026-02-12 18:14:01.735,133.600,0.322754,0.506836,-0.777832,1.870,-2.656,0.206,31.51
2026-02-12 18:14:01.835,133.700,0.319092,0.510742,-0.777832,1.588,-2.756,0.260,31.51
2026-02-12 18:14:01.935,133.800,0.320801,0.511963,-0.781738,1.687,-2.924,0.229,31.51
2026-02-12 18:14:02.035,133.900,0.322998,0.510742,-0.779297,1.603,-2.847,0.305,31.32
2026-02-12 18:14:02.135,134.000,0.324707,0.510986,-0.780762,1.908,-2.954,0.504,31.32
2026-02-12 18:14:02.235,134.100,0.321777,0.502686,-0.781006,1.878,-2.954,0.290,31.32
2026-02-12 18:14:02.335,134.200,0.319824,0.506104,-0.784912,1.489,-2.878,0.336,31.56
2026-02-12 18:14:02.435,134.300,0.322998,0.503418,-0.779785,1.595,-2.878,0.168,31.66
2026-02-12 18:14:02.535,134.400,0.321289,0.509766,-0.776611,1.542,-2.969,0.137,31.46
2026-02-12 18:14:02.635,134.500,0.323486,0.506836,-0.780273,1.557,-2.947,0.229,31.46
2026-02-12 18:14:02.735,134.600,0.322266,0.509277,-0.781982,1.931,-2.924,0.206,31.51
2026-02-12 18:14:02.835,134.700,0.324707,0.507080,-0.773682,1.702,-2.664,0.053,31.66
2026-02-12 18:14:02.935,134.800,0.321777,0.509033,-0.774170,1.725,-2.710,0.298,31.51
